,isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description
89,9780060005696,0060005696,The Paradox of Choice,Barry Schwartz,Business & Economics,,"The author of The Battle for Human Nature explains why too much choice has led to the ever increasing complexity of everyday decisions, why too much of a good thing has become detrimental to human psychological and emotional well-being, and how to focus our lives on making the right choices. Reprint. 35,000 first printing.",2005.0,3.84,265.0,23734.0,The Paradox of Choice: Why More Is Less,"9780060005696 The author of The Battle for Human Nature explains why too much choice has led to the ever increasing complexity of everyday decisions, why too much of a good thing has become detrimental to human psychological and emotional well-being, and how to focus our lives on making the right choices. Reprint. 35,000 first printing."
94,9780060084387,0060084383,Modern Mind,Peter Watson,Science,http://books.google.com/books/content?id=JVdMSavwwHoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From Freud to Babbitt, from Animal Farm to Sartre to the Great Society, from the Theory of Relativity to counterculture to Kosovo, The Modern Mind is encyclopedic, covering the major writers, artists, scientists, and philosophers who produced the ideas by which we live. Peter Watson has produced a fluent and engaging narrative of the intellectual tradition of the twentieth century, and the men and women who created it.",2002.0,4.27,847.0,570.0,Modern Mind: An Intellectual History of the 20th Century,"9780060084387 From Freud to Babbitt, from Animal Farm to Sartre to the Great Society, from the Theory of Relativity to counterculture to Kosovo, The Modern Mind is encyclopedic, covering the major writers, artists, scientists, and philosophers who produced the ideas by which we live. Peter Watson has produced a fluent and engaging narrative of the intellectual tradition of the twentieth century, and the men and women who created it."
159,9780060577865,006057786X,Bad Childhood---Good Life,Laura Schlessinger,Self-Help,http://books.google.com/books/content?id=2sepdlitBW8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Exploring how the past influences the present, the author discusses how to understand each individual's unique coping style and how to tap into the extraordinary quality of human spirit that will create the transition from victim to victor.",2006.0,3.92,272.0,502.0,Bad Childhood---Good Life: How to Blossom and Thrive in Spite of an Unhappy Childhood,"9780060577865 Exploring how the past influences the present, the author discusses how to understand each individual's unique coping style and how to tap into the extraordinary quality of human spirit that will create the transition from victim to victor."
280,9780060906825,0060906820,DREAM & THE UNDERWOR,James Hillman,Psychology,http://books.google.com/books/content?id=-vMpuwPRVFsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a deepening of the thinking begun in The Myth of Analysis and Re-Visioning Psychology, James Hillman develops the first new view of dreams since Freud and Jung.",1979.0,4.23,256.0,709.0,DREAM & THE UNDERWOR,"9780060906825 In a deepening of the thinking begun in The Myth of Analysis and Re-Visioning Psychology, James Hillman develops the first new view of dreams since Freud and Jung."
323,9780060958336,0060958332,The Language Instinct,Steven Pinker,Language Arts & Disciplines,http://books.google.com/books/content?id=NrXVUNbLaMUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this classic study, the world's leading expert on language and the mind lucidly explains everything you always wanted to know about languages: how it works, how children learn it, how it changes, how the brain computes it, and how it envolved. With wit, erudition, and deft use it everyday examples of humor and wordplay, Steven Pinker weaves our vast knowledge of language into a compelling story: language is a human instinct, wired into our brains by evolution like web spinning in spiders or sonar bats. The Language Instinct received the William James Book Prize from the American Psychological Association and the Public Interest Award from the Linguistics Society of America.",2000.0,4.05,448.0,14293.0,The Language Instinct: How the Mind Creates Language,"9780060958336 In this classic study, the world's leading expert on language and the mind lucidly explains everything you always wanted to know about languages: how it works, how children learn it, how it changes, how the brain computes it, and how it envolved. With wit, erudition, and deft use it everyday examples of humor and wordplay, Steven Pinker weaves our vast knowledge of language into a compelling story: language is a human instinct, wired into our brains by evolution like web spinning in spiders or sonar bats. The Language Instinct received the William James Book Prize from the American Psychological Association and the Public Interest Award from the Linguistics Society of America."
388,9780061196676,0061196673,Smithsonian Intimate Guide to Human Origins,Carl Zimmer,Social Science,http://books.google.com/books/content?id=xufuSNGg_vMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From the savannas of Africa to modern-day labs for biomechanical analysis and molecular genetics, Smithsonian Intimate Guide to Human Origins reveals how anthropologists are furiously redrawing the human family tree. Their discoveries have spawned a host of new questions: Should chimpanzees be included as a human species? Was it the physical difficulty of human childbirth that encouraged the development of social groups in early human species? Did humans and Neanderthals interbreed? Why did humans supplant Neanderthals in the end? In answering such questions, Smithsonian Intimate Guide to Human Origins sheds new light on one of the most important questions of all: What makes us human?",2007.0,4.0,176.0,167.0,Smithsonian Intimate Guide to Human Origins,"9780061196676 From the savannas of Africa to modern-day labs for biomechanical analysis and molecular genetics, Smithsonian Intimate Guide to Human Origins reveals how anthropologists are furiously redrawing the human family tree. Their discoveries have spawned a host of new questions: Should chimpanzees be included as a human species? Was it the physical difficulty of human childbirth that encouraged the development of social groups in early human species? Did humans and Neanderthals interbreed? Why did humans supplant Neanderthals in the end? In answering such questions, Smithsonian Intimate Guide to Human Origins sheds new light on one of the most important questions of all: What makes us human?"
455,9780091898243,0091898242,Darwin's Watch,Terry Pratchett;Ian Stewart;Jack Sidney Cohen,Cosmology,http://books.google.com/books/content?id=91OA4xpB3qAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Roundworld is in trouble again, and this time it looks fatal. Having created it in the first place, the wizards of Unseen Univeristy feel vaguely responsible for its safety. They know the creatures who lived there escaped the impending Big Freeze by inventing the space elevator - they even intervened to rid the planet of a plague of elves, who attempted to divert humanity onto a different time track. But now it's all gone wrong - Victorian England has stagnated and the pace of progress would embarrass a limping snail. Unless something drastic is done, there won't be time for anyone to invent spaceflight and the human race will be turned into ice-pops. Why, though, did history come adrift? Was it Sir Arthur Nightingale's dismal book about natural selection? Or was it the devastating response by an obscure country vicar called Charles Darwin, whose bestselling Theology of Species made it impossible to refute the divine design of living creatures? Either way, it's no easy task to change history, as the wizards discover to their cost. Can the God of Evolution come to humanity's aid and ensure Darwin writes a very different book? And who stopped him writing it in the first place? 'The hard science is as gripping as the fiction' - The Times 'Entertaining and illuminating' - New Scientist",2006.0,3.94,344.0,3481.0,Darwin's Watch,"9780091898243 Roundworld is in trouble again, and this time it looks fatal. Having created it in the first place, the wizards of Unseen Univeristy feel vaguely responsible for its safety. They know the creatures who lived there escaped the impending Big Freeze by inventing the space elevator - they even intervened to rid the planet of a plague of elves, who attempted to divert humanity onto a different time track. But now it's all gone wrong - Victorian England has stagnated and the pace of progress would embarrass a limping snail. Unless something drastic is done, there won't be time for anyone to invent spaceflight and the human race will be turned into ice-pops. Why, though, did history come adrift? Was it Sir Arthur Nightingale's dismal book about natural selection? Or was it the devastating response by an obscure country vicar called Charles Darwin, whose bestselling Theology of Species made it impossible to refute the divine design of living creatures? Either way, it's no easy task to change history, as the wizards discover to their cost. Can the God of Evolution come to humanity's aid and ensure Darwin writes a very different book? And who stopped him writing it in the first place? 'The hard science is as gripping as the fiction' - The Times 'Entertaining and illuminating' - New Scientist"
502,9780099458265,0099458268,Human Traces,Sebastian Faulks,Europe,http://books.google.com/books/content?id=KTKZiwoIHMUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"As young boys both Jacques RebiSre and Thomas Midwinter become fascinated with trying to understand the human mind.As psychiatris- ts, their quest takes them from the squalor of the Victorian lunatic asylum to the crowded lecture halls of the renowned Professor Charcot in Paris; from the heights of the Sierra Madre in California to the plains of unexplored Africa. As the concerns of the old century fade and the First World War divides Europe, the two men's volatile relationship develops and changes, but is always tempered by one exceptional woman; Thomas's sister Sonia.Moving and challenging in equal measure, HUMAN TRACES explores the question of what kind of beings men and women really are.",2006.0,3.63,793.0,3388.0,Human Traces,"9780099458265 As young boys both Jacques RebiSre and Thomas Midwinter become fascinated with trying to understand the human mind.As psychiatris- ts, their quest takes them from the squalor of the Victorian lunatic asylum to the crowded lecture halls of the renowned Professor Charcot in Paris; from the heights of the Sierra Madre in California to the plains of unexplored Africa. As the concerns of the old century fade and the First World War divides Europe, the two men's volatile relationship develops and changes, but is always tempered by one exceptional woman; Thomas's sister Sonia.Moving and challenging in equal measure, HUMAN TRACES explores the question of what kind of beings men and women really are."
600,9780140244915,0140244913,How the Mind Works,Steven Pinker,Philosophy,http://books.google.com/books/content?id=O521DV3v47wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Presented with extraordinary lucidity, cogency and panache...Powerful and gripping...To have read [the book] is to have consulted a first draft of the structural plan of the human psyche...a glittering tour de force"" - Spectator ""Why do memories fade? Why do we lose our tempers? Why do fools fall in love? Pinker's objective in this erudite account is to explore the nature and history of the human mind...He explores computations and evolutions, and then considers how the mind lets us ""see, think, feel, interact, and pursue higher callings like art, religion and philosophy"" - Sunday Times",1999.0,3.97,660.0,225.0,How the Mind Works,"9780140244915 ""Presented with extraordinary lucidity, cogency and panache...Powerful and gripping...To have read [the book] is to have consulted a first draft of the structural plan of the human psyche...a glittering tour de force"" - Spectator ""Why do memories fade? Why do we lose our tempers? Why do fools fall in love? Pinker's objective in this erudite account is to explore the nature and history of the human mind...He explores computations and evolutions, and then considers how the mind lets us ""see, think, feel, interact, and pursue higher callings like art, religion and philosophy"" - Sunday Times"
799,9780142003343,0142003344,The Blank Slate,Steven Pinker,Psychology,http://books.google.com/books/content?id=7rJ5gI1LbXoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a study of the nature versus nurture debate, one of the world's foremost experts on language and the mind explores the modern self-denial of our basic human natures.",2003.0,4.08,528.0,17851.0,The Blank Slate: The Modern Denial of Human Nature,"9780142003343 In a study of the nature versus nurture debate, one of the world's foremost experts on language and the mind explores the modern self-denial of our basic human natures."
